Weights/Scale,,,2.625,2.625,2,2.625,2.625,35,2.625,2,2.625,2.625,2.625,40,100
,,,Q1,Q2,A1,Q3,Q4,Midterm,Q5,A2,Q6,Q7,Q8,Final,Total
Sr#.,Roll No.,Name,30,49,100,30,15,35,45,100,32,24,40,40,100
1,S1,N1,30,39,90,13.5,7,31.06,36,94,26.5,15,26.5,35.67,86
2,S2,N2,27,,,,,0,,,,,,0,3
3,S3,N3,30,20,100,0,5,29.31,32,100,16.5,12,27.5,29.33,74
4,S4,N4,27,23,95,17,3,23.63,27,98,16,,21.5,32,70
5,S5,N5,29,33,90,21,5,22.75,28,98,16,9,14,27,66
6,S6,N6,27,,,,,0,,,,,,0,3
7,S7,N7,30,40,95,22.5,6,21,21,90,9,17,20,28.67,67
8,S8,N8,22,29,95,26.5,11,21.88,23,100,17,6,15.5,26.33,65
9,S9,N9,27,23,95,22,9,30.19,20,97,11,10,11.5,32.67,78
10,S10,N10,29,31,95,17,3,20.56,23,95,11,5,29.5,29,65
11,S11,N11,29,29,95,12.5,7,13.56,17,100,16,0,13.5,24.67,52
12,S12,N12,30,36,95,18.5,2,23.19,25,97,17,14,24,33.33,73
13,S13,N13,30,22,95,21,12,22.97,31,100,18,12,31.5,33.67,75
14,S14,N14,24,20,95,10.5,2,18.81,31,87,8,,18.5,29.33,60
15,S15,N15,27,42,95,,,19.25,29,94,,7,,21.33,52
16,S16,N16,,28,95,23,1,22.31,27,95,14,4,24,23,58
17,S17,N17,30,33,90,19,7,24.06,31,93,12,7,14,30.67,71
18,S18,N18,29,26,95,27,2,27.56,29,100,16,10,27.5,31.33,76
19,S19,N19,30,33,90,14.5,3,24.94,29,93,14,15,25.5,27,68
20,S20,N20,30,33,95,20.5,6,27.56,23,90,16,9,22,25,69
21,S21,N21,30,23.5,95,25.5,12,23.19,20,99,16,9,15,21,61
22,S22,N22,30,16.5,90,10.5,6,11.81,27,98,10,,21,17.33,43
23,S23,N23,28,21,95,22,12,19.69,20,80,18,11,17,22.67,59
24,S24,N24,22,28,,,2,20.13,,95,5,8,10,25,53
25,S25,N25,27,30,95,23,8,21.88,33,92,17,10,35.5,31,71
26,S26,N26,27,31,,,2,20.13,22,,,9,,16,43
27,S27,N27,29,26,95,24,11,19.69,24,97,15,9,33,23.67,61
28,S28,N28,27,36,95,29.5,,23.63,33,95,16,,24,26,66
29,S29,N29,27,37,95,26,2,23.63,23,95,23,,,25,63
30,S30,N30,29,24.5,90,15.5,1,17.5,,90,10.5,6,11,21,50
31,S31,N31,30,34.5,95,27,4,25.81,36,98,22.5,12,31.5,33.67,79
32,S32,N32,28,32,,,,23.63,28,92,15,7,32.5,31,67
33,S33,N33,25,19,95,21.5,2,23.63,,96,15,,21,30,66
34,S34,N34,24,36,95,18,3,21,,95,6,13,26.5,28.33,63
35,S35,N35,27,33.5,95,27,10,26.25,32,99,19.5,9,35.5,31,77
36,S36,N36,28,29,95,17,4,18.81,31,97,11,,26.5,30.33,64
37,S37,N37,28,27.5,95,19.5,4,24.06,30,95,9,6,25.5,24.33,64
38,S38,N38,28,26,95,16,,27.13,34,83,,6,23,29,70
39,S39,N39,29,21.5,95,24,8,29.75,32,98,18,8,37.5,33.67,82
40,S40,N40,26,32.5,95,14,1,22.31,27,90,17.5,10,25.5,25,63
41,S41,N41,28,28,95,24.5,9,28.44,34,90,22,12,27,33.67,81
42,S42,N42,30,33,95,18.5,4,17.94,25,94,20,11,19,27,61
43,S43,N43,28,22,90,18,0,14.44,30,96,12.5,9,25.5,19,48
44,S44,N44,25,38,95,30,9,27.13,36,99,12,16,29.5,30.33,77